created_at,word
2020-02-24T03:04:59Z,fan
2020-02-24T03:04:59Z,thewalkingdead
2020-02-24T03:04:59Z,celtics
2020-02-24T03:04:59Z,rhoa
2020-02-24T03:04:59Z,90dayfiance
2020-02-24T03:04:59Z,americanidol
2020-02-24T03:04:59Z,lakers
2020-02-24T03:04:59Z,tatum
2020-02-24T03:04:59Z,kemba
2020-02-24T03:04:59Z,elizabethwarren
2020-02-24T03:04:59Z,jesus
2020-02-24T03:04:59Z,romans
2020-02-24T03:04:59Z,6
2020-02-24T03:04:59Z,23
2020-02-24T03:04:59Z,wages
2020-02-24T03:04:59Z,sin
2020-02-24T03:04:59Z,death
2020-02-24T03:04:59Z,gift
2020-02-24T03:04:59Z,god
2020-02-24T03:04:59Z,eternal
2020-02-24T03:04:59Z,life
2020-02-24T03:04:59Z,jesus
2020-02-24T03:04:59Z,christ
2020-02-24T03:04:59Z,lord
2020-02-24T03:04:13Z,voted
2020-02-24T03:04:13Z,elizabethwarren
2020-02-24T03:04:13Z,ca
2020-02-24T03:04:13Z,primary
2020-02-24T03:03:58Z,elizabethwarren
2020-02-24T03:03:58Z,lmao
2020-02-24T03:03:58Z,drop
2020-02-24T03:03:58Z,break
2020-02-24T03:03:58Z,double
2020-02-24T03:03:58Z,digits
2020-02-24T03:03:58Z,15
2020-02-24T03:03:58Z,delegate
2020-02-24T03:03:58Z,embarrassing
2020-02-24T03:01:59Z,i’m
2020-02-24T03:01:59Z,voting
2020-02-24T03:01:59Z,elizabethwarren
2020-02-24T03:01:59Z,missouri
2020-02-24T03:01:59Z,primary
2020-02-24T03:01:59Z,lfg
2020-02-24T03:01:37Z,i’m
2020-02-24T03:01:37Z,voting
2020-02-24T03:01:37Z,elizabethwarren
2020-02-24T03:01:37Z,washington
2020-02-24T03:01:37Z,primary
2020-02-24T03:01:37Z,friends
2020-02-24T03:01:37Z,lfg
2020-02-24T03:00:58Z,i’m
2020-02-24T03:00:58Z,voting
2020-02-24T03:00:58Z,elizabethwarren
2020-02-24T03:00:58Z,minnesota
2020-02-24T03:00:58Z,primary
2020-02-24T03:00:07Z,voting
2020-02-24T03:00:07Z,elizabethwarren
2020-02-24T03:00:07Z,wa
2020-02-24T02:59:31Z,voting
2020-02-24T02:59:31Z,elizabethwarren
2020-02-24T02:59:31Z,ohio
2020-02-24T02:59:31Z,primary
2020-02-24T02:58:53Z,voting
2020-02-24T02:58:53Z,elizabethwarren
2020-02-24T02:58:53Z,tennessee
2020-02-24T02:58:53Z,primary
2020-02-24T02:57:58Z,elizabethwarren
2020-02-24T02:57:58Z,voted
2020-02-24T02:57:58Z,primary
2020-02-24T02:57:33Z,voting
2020-02-24T02:57:33Z,elizabethwarren
2020-02-24T02:57:33Z,wyoming
2020-02-24T02:57:33Z,primary
2020-02-22T19:27:22Z,nevadacaucus
2020-02-22T19:27:22Z,casting
2020-02-22T19:27:22Z,vote
2020-02-22T19:27:22Z,elizabethwarren
2020-02-24T02:55:56Z,i’m
2020-02-24T02:55:56Z,voting
2020-02-24T02:55:56Z,elizabethwarren
2020-02-24T02:55:56Z,arizona
2020-02-24T02:55:56Z,primary
2020-02-24T02:55:25Z,voted
2020-02-24T02:55:25Z,oklahoma
2020-02-24T02:55:25Z,primary
2020-02-24T02:55:25Z,elizabethwarren
2020-02-24T02:54:18Z,i’m
2020-02-24T02:54:18Z,voting
2020-02-24T02:54:18Z,elizabethwarren
2020-02-24T02:54:18Z,washington
2020-02-24T02:54:18Z,primary
2020-02-24T02:54:00Z,canvassed
2020-02-24T02:54:00Z,elizabethwarren
2020-02-24T02:54:00Z,ca
2020-02-24T02:54:00Z,primary
2020-02-24T02:54:00Z,time
2020-02-24T02:54:00Z,canvassing
2020-02-24T02:54:00Z,time
2020-02-24T02:54:00Z,meeting
2020-02-24T02:54:00Z,fellow
2020-02-24T02:54:00Z,warren
2020-02-24T02:54:00Z,enthusiasts
2020-02-24T02:54:00Z,lfg
2020-02-24T02:53:28Z,don’t
2020-02-24T02:53:28Z,vote
2020-02-24T02:53:28Z,berniesanders
2020-02-24T02:53:28Z,fascist
2020-02-24T02:53:28Z,elizabethwarren
2020-02-24T02:53:28Z,isn’t
2020-02-24T02:53:28Z,elected
2020-02-24T02:53:28Z,sexist
2020-02-24T02:53:28Z,fuck
2020-02-24T02:53:28Z,electorial
2020-02-24T02:53:28Z,fatalism
2020-02-24T02:53:28Z,shit
2020-02-24T02:53:28Z,4
2020-02-24T02:53:28Z,candidate
2020-02-24T02:53:28Z,don’t
2020-02-24T02:53:28Z,antichrist
2020-02-24T02:53:28Z,omg
2020-02-24T02:53:28Z,focus
2020-02-24T02:53:28Z,beating
2020-02-24T02:53:28Z,oligarchs
2020-02-20T04:55:47Z,bottom
2020-02-20T04:55:47Z,line
2020-02-20T04:55:47Z,elizabethwarren
2020-02-20T04:55:47Z,pick
2020-02-20T04:55:47Z,democraticprimary
2020-02-20T04:55:47Z,cultivate
2020-02-20T04:55:47Z,type
2020-02-20T04:55:47Z,country
2020-02-20T04:55:47Z,girls
2020-02-20T04:55:47Z,grow
2020-02-20T04:55:47Z,i’m
2020-02-20T04:55:47Z,hard
2020-02-20T04:55:47Z,time
2020-02-20T04:55:47Z,understanding
2020-02-20T04:55:47Z,supports
2020-02-20T04:55:47Z,gender
2020-02-20T04:55:47Z,racial
2020-02-20T04:55:47Z,equity
2020-02-20T04:55:47Z,can’t
2020-02-20T04:55:47Z,support
2020-02-20T04:55:47Z,demdebate
2020-02-24T02:52:12Z,washington
2020-02-24T02:52:12Z,primary
2020-02-24T02:52:12Z,election
2020-02-24T02:52:12Z,ballot
2020-02-24T02:52:12Z,overseas
2020-02-24T02:52:12Z,voter
2020-02-24T02:52:12Z,voted
2020-02-24T02:52:12Z,elizabethwarren
2020-02-24T02:49:46Z,elizabethwarren
2020-02-24T02:49:46Z,liar
2020-02-24T02:49:46Z,sexist
2020-02-24T02:49:46Z,lies
2020-02-24T02:49:46Z,people
2020-02-24T02:49:46Z,sexist
2020-02-24T02:49:46Z,people
2020-02-24T02:49:46Z,sexually
2020-02-24T02:49:46Z,attacking
2020-02-24T02:49:46Z,identity
2020-02-24T02:49:46Z,politics
2020-02-24T02:49:46Z,form
2020-02-24T02:49:46Z,division
2020-02-24T02:49:46Z,time
2020-02-24T02:49:46Z,rally
2020-02-24T02:49:46Z,person
2020-02-24T02:49:46Z,beat
