created_at,word
2020-02-23T23:00:03Z,followers
2020-02-23T23:00:03Z,6
2020-02-23T23:00:03Z,hours
2020-02-23T23:00:03Z,0.0531
2020-02-23T23:00:03Z,increase
2020-02-23T23:00:03Z,current
2020-02-23T23:00:03Z,count
2020-02-23T23:00:03Z,"970,474"
2020-02-23T23:00:03Z,followers
2020-02-23T23:00:03Z,2020election
2020-02-23T17:00:03Z,amyklobuchar
2020-02-23T17:00:03Z,gained
2020-02-23T17:00:03Z,578
2020-02-23T17:00:03Z,twitter
2020-02-23T17:00:03Z,followers
2020-02-23T17:00:03Z,6
2020-02-23T17:00:03Z,hours
2020-02-23T17:00:03Z,0.0596
2020-02-23T17:00:03Z,increase
2020-02-23T17:00:03Z,current
2020-02-23T17:00:03Z,count
2020-02-23T17:00:03Z,"969,957"
2020-02-23T17:00:03Z,followers
2020-02-23T17:00:03Z,2020election
2020-02-23T22:45:59Z,donaldtrump
2020-02-23T22:45:59Z,republican
2020-02-23T22:45:59Z,mittromney
2020-02-23T22:45:59Z,republican
2020-02-23T22:45:59Z,mikebloomberg
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,petebuttigieg
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,tomsteyer
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,amyklobuchar
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,elizabethwarren
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,tulsigabbard
2020-02-23T22:45:59Z,democrat
2020-02-23T22:45:59Z,berniesanders
2020-02-23T22:45:59Z,democrat
2020-02-23T16:38:46Z,saladcombgate
2020-02-23T16:38:46Z,amyklobuchar
2020-02-23T16:38:46Z,amy
2020-02-23T16:38:46Z,run
2020-02-23T16:38:46Z,time
2020-02-23T16:38:46Z,receipts
2020-02-23T08:06:45Z,hashtags
2020-02-23T08:06:45Z,participating
2020-02-23T08:06:45Z,supertuesday
2020-02-23T08:06:45Z,vote
2020-02-23T08:06:45Z,shout
2020-02-23T08:06:45Z,outs
2020-02-23T08:06:45Z,amyklobuchar
2020-02-23T08:06:45Z,retweet
2020-02-23T08:06:45Z,missing
2020-02-23T08:06:45Z,people
2020-02-23T08:06:45Z,animals
2020-02-23T08:06:45Z,primary
2020-02-23T08:06:45Z,elections
2020-02-23T08:06:45Z,people
2020-02-23T21:47:21Z,bluewave
2020-02-23T21:47:21Z,resist
2020-02-23T21:47:21Z,voteblue
2020-02-23T21:47:21Z,notmypresident
2020-02-23T21:47:21Z,impeachtrump
2020-02-23T21:47:21Z,vote
2020-02-23T21:47:21Z,democrats
2020-02-23T21:47:21Z,trump
2020-02-23T21:47:21Z,fucktrump
2020-02-23T21:47:21Z,dumptrump
2020-02-23T21:47:21Z,politics
2020-02-23T21:47:21Z,liarinchief
2020-02-23T21:47:21Z,impeach
2020-02-23T21:47:21Z,theresistance
2020-02-23T21:47:21Z,petebuttigieg
2020-02-23T21:47:21Z,prochoice
2020-02-23T21:47:21Z,bloomberg
2020-02-23T21:47:21Z,mikebloomberg
2020-02-23T21:47:21Z,liberal
2020-02-23T21:47:21Z,obamacare
2020-02-23T21:47:21Z,election
2020-02-23T21:47:21Z,womensrights
2020-02-23T21:47:21Z,redwave
2020-02-23T21:47:21Z,treason
2020-02-23T21:47:21Z,amyklobuchar
2020-02-23T19:59:13Z,process
2020-02-23T19:59:13Z,democratic
2020-02-23T19:59:13Z,win
2020-02-23T19:59:13Z,november
2020-02-23T19:59:13Z,require
2020-02-23T19:59:13Z,enthusiastic
2020-02-23T19:59:13Z,aggressive
2020-02-23T19:59:13Z,support
2020-02-23T19:59:13Z,whomever
2020-02-23T19:59:13Z,candidate
2020-02-23T19:59:13Z,annoying
2020-02-23T19:59:13Z,screaming
2020-02-23T19:59:13Z,elizabethwarren
2020-02-23T19:59:13Z,amyklobuchar
2020-02-23T19:45:57Z,save
2020-02-23T19:45:57Z,dems
2020-02-23T19:45:57Z,amyklobuchar
2020-02-23T19:45:57Z,drop
2020-02-23T19:45:57Z,steyer
2020-02-23T19:45:57Z,biden
2020-02-23T19:45:57Z,doesnt
2020-02-23T19:45:57Z,race
2020-02-23T19:45:57Z,drop
2020-02-23T19:45:57Z,pleasenobernie
2020-02-23T19:45:57Z,loose
2020-02-23T15:32:51Z,amyklobuchar
2020-02-23T15:32:51Z,drop
2020-02-23T15:32:51Z,sake
2020-02-23T15:32:51Z,party
2020-02-23T15:32:51Z,pleasenotbernie
2020-02-23T15:32:51Z,drop
2020-02-23T15:32:51Z,win
2020-02-23T15:32:51Z,biden
2020-02-23T15:32:51Z,bad
2020-02-23T19:36:04Z,poll
2020-02-23T19:36:04Z,amyklobuchar
2020-02-23T19:36:04Z,defeat
