created_at,word
2020-02-23T19:25:45Z,agreement
2020-02-23T19:25:45Z,june
2020-02-23T19:25:45Z,2017
2020-02-23T19:25:45Z,michaelbloomberg
2020-02-23T19:25:45Z,immediately
2020-02-23T19:25:45Z,rallied
2020-02-23T19:25:45Z,coalition
2020-02-23T19:25:45Z,influential
2020-02-23T19:25:45Z,leaders
2020-02-23T19:25:45Z,announced
2020-02-23T19:25:45Z,bloomberg
2020-02-23T19:25:45Z,philanthropies
2020-02-23T19:25:45Z,provide
2020-02-23T19:25:45Z,15
2020-02-23T19:25:45Z,million
2020-02-23T19:25:45Z,funding
2020-02-23T19:25:45Z,mike2020
2020-02-23T19:25:45Z,bloomberg2020
2020-02-23T19:25:45Z,climatecrisis
2020-02-22T07:30:43Z,american
2020-02-22T07:30:43Z,oligarch
2020-02-22T07:30:43Z,named
2020-02-22T07:30:43Z,michaelbloomberg
2020-02-22T07:30:43Z,russian
2020-02-22T07:30:43Z,gru
2020-02-22T07:30:43Z,tactics
2020-02-22T07:30:43Z,twitter
2020-02-22T07:30:43Z,shut
2020-02-22T07:30:43Z,michael
2020-02-22T07:30:43Z,moore
2020-02-22T07:30:43Z,berniebros
2020-02-22T07:30:43Z,bernieisarussianasset
2020-02-22T07:30:43Z,democratshateamerica
2020-02-23T21:01:40Z,supporting
2020-02-23T21:01:40Z,michaelbloomberg
2020-02-23T21:01:40Z,president
2020-02-23T21:01:40Z,akin
2020-02-23T21:01:40Z,supporting
2020-02-23T21:01:40Z,burns
2020-02-23T21:01:40Z,president
2020-02-15T06:47:25Z,bloomberg
2020-02-15T06:47:25Z,nomination
2020-02-15T06:47:25Z,bernie
2020-02-15T06:47:25Z,wins
2020-02-15T06:47:25Z,majority
2020-02-15T06:47:25Z,delegates
2020-02-15T06:47:25Z,bloomie
2020-02-15T06:47:25Z,bernie’s
2020-02-15T06:47:25Z,folks
2020-02-15T06:47:25Z,ge
2020-02-15T06:47:25Z,hate
2020-02-15T06:47:25Z,trump
2020-02-15T06:47:25Z,democraticprimary
2020-02-15T06:47:25Z,michaelbloomberg
2020-02-15T06:47:25Z,bernie2020
2020-02-23T03:15:03Z,nevada
2020-02-23T03:15:03Z,results
2020-02-23T03:15:03Z,elizabethwarren
2020-02-23T03:15:03Z,speaking
2020-02-23T03:15:03Z,michaelbloomberg
2020-02-23T03:15:03Z,win
2020-02-23T03:15:03Z,nevada
2020-02-23T03:15:03Z,berniesanders
2020-02-23T03:15:03Z,warren
2020-02-23T03:15:03Z,remarks
2020-02-23T03:15:03Z,sanders
2020-02-23T03:15:03Z,focus
2020-02-23T03:15:03Z,politics
2020-02-23T19:39:31Z,poll
2020-02-23T19:39:31Z,michaelbloomberg
2020-02-23T19:39:31Z,defeat
2020-02-23T19:39:31Z,trump
2020-02-23T18:26:48Z,michaelbloomberg
2020-02-23T18:26:48Z,mayor
2020-02-23T18:26:48Z,ny
2020-02-23T18:26:48Z,led
2020-02-23T18:26:48Z,reduction
2020-02-23T18:26:48Z,crime
2020-02-23T18:26:48Z,crime
2020-02-23T18:26:48Z,amjoy
2020-02-23T18:26:48Z,msnbc
2020-02-21T14:43:45Z,obama
2020-02-21T14:43:45Z,sealed
2020-02-21T14:43:45Z,records
2020-02-21T14:43:45Z,michaelbloomberg
2020-02-21T14:43:45Z,nda's
2020-02-21T14:43:45Z,democratic
2020-02-21T14:43:45Z,party
2020-02-21T14:43:45Z,hide
2020-02-21T14:43:45Z,trump
2020-02-21T14:43:45Z,cleanest
2020-02-21T14:43:45Z,president
2020-02-21T14:43:45Z,trump2020
2020-02-23T18:11:55Z,clinteastwood
2020-02-23T18:11:55Z,betrayed
2020-02-23T18:11:55Z,donaldtrump
2020-02-23T18:11:55Z,supporting
2020-02-23T18:11:55Z,michaelbloomberg
2020-02-23T18:11:55Z,rw
2020-02-23T18:11:55Z,attack
2020-02-23T18:11:55Z,eastwood
2020-02-23T15:59:30Z,michaelbloomberg
2020-02-23T15:59:30Z,hiding
2020-02-23T15:59:30Z,shield
2020-02-23T15:59:30Z,polished
2020-02-23T15:59:30Z,marketing
2020-02-23T15:59:30Z,tools
2020-02-23T15:59:30Z,skewered
2020-02-23T15:59:30Z,nevada
2020-02-23T15:59:30Z,debate
2020-02-23T15:59:30Z,spend
2020-02-23T15:59:30Z,hundreds
2020-02-23T15:59:30Z,millions
2020-02-23T15:59:30Z,prepared
2020-02-23T15:59:30Z,engaged
2020-02-23T15:59:30Z,live
2020-02-23T15:59:30Z,debate
2020-02-23T15:59:30Z,nope
2020-02-20T23:53:38Z,victims
2020-02-20T23:53:38Z,stopandfrisk
2020-02-20T23:53:38Z,class
2020-02-20T23:53:38Z,action
2020-02-20T23:53:38Z,lawsuit
2020-02-20T23:53:38Z,michaelbloomberg
2020-02-20T23:53:38Z,reading
2020-02-20T23:53:38Z,mybloombergstory
2020-02-20T23:53:38Z,tweets
2020-02-20T23:53:38Z,people
2020-02-20T23:53:38Z,traumatized
2020-02-15T12:30:50Z,3
2020-02-15T12:30:50Z,michaelbloomberg
2020-02-15T12:30:50Z,black
2020-02-15T12:30:50Z,community
2020-02-15T12:30:50Z,5
2020-02-15T12:30:50Z,mikeforblackamerica
2020-02-23T14:17:59Z,quibi
2020-02-23T14:17:59Z,michaelbloomberg
2020-02-23T14:17:59Z,internet
2020-02-22T17:20:17Z,michael
2020-02-22T17:20:17Z,bloomberg
2020-02-22T17:20:17Z,secret
2020-02-22T17:20:17Z,billions
2020-02-22T17:20:17Z,absolutely
2020-02-22T17:20:17Z,personality
2020-02-22T17:20:17Z,strangely
2020-02-22T17:20:17Z,detached
2020-02-22T17:20:17Z,starts
2020-02-22T17:20:17Z,day
2020-02-22T17:20:17Z,mantra
2020-02-22T17:20:17Z,rich
2020-02-22T17:20:17Z,complacency
2020-02-22T17:20:17Z,steers
2020-02-22T17:20:17Z,day
2020-02-22T17:20:17Z,michaelbloomberg
2020-02-23T14:02:26Z,public
2020-02-23T14:02:26Z,appearance
2020-02-23T14:02:26Z,michaelbloomberg
2020-02-23T14:02:26Z,candidacy
2020-02-23T14:02:26Z,talk
2020-02-23T14:02:26Z,appeal
2020-02-23T14:02:26Z,strategy
2020-02-23T14:02:26Z,bribe
2020-02-23T14:02:26Z,super
2020-02-23T14:02:26Z,delegates
2020-02-23T14:02:26Z,bernie’s
2020-02-23T14:02:26Z,team
2020-02-23T14:02:26Z,nazi
2020-02-23T14:02:26Z,storm
2020-02-23T14:02:26Z,troopers
2020-02-23T14:02:26Z,chrismatthews
2020-02-23T14:02:26Z,thwart
2020-02-23T14:02:26Z,evil
2020-02-23T14:02:26Z,plans
2020-02-23T14:02:26Z,golden
2020-02-23T14:02:26Z,age
2020-02-23T14:02:26Z,billionaires
2020-02-23T14:02:26Z,peril
2020-02-23T13:50:01Z,michaelbloomberg
2020-02-23T13:50:01Z,generous
2020-02-23T13:50:01Z,caring
2020-02-23T13:50:01Z,guy
2020-02-23T13:50:01Z,plans
2020-02-23T13:50:01Z,money
2020-02-23T13:50:01Z,he’ll
2020-02-23T13:50:01Z,dress
2020-02-23T13:50:01Z,rags
2020-02-23T13:50:01Z,eat
2020-02-23T13:50:01Z,mcdonalds
2020-02-23T13:50:01Z,added
2020-02-23T13:50:01Z,enjoys
2020-02-23T13:50:01Z,wasting
2020-02-23T13:50:01Z,millions
2020-02-23T13:50:01Z,elect
2020-02-23T13:50:01Z,leader
2020-02-23T13:50:01Z,free
2020-02-23T13:50:01Z,world
2020-02-23T13:50:01Z,money
2020-02-23T13:50:01Z,fed
2020-02-23T13:50:01Z,thousands
2020-02-23T05:40:22Z,berniesanders
2020-02-23T05:40:22Z,wins
2020-02-23T05:40:22Z,nomination
2020-02-23T05:40:22Z,michaelbloomberg
2020-02-23T05:40:22Z,decides
2020-02-23T05:40:22Z,run
2020-02-23T05:40:22Z,independent
2020-02-23T05:40:22Z,election
2020-02-23T05:40:22Z,hurt
2020-02-23T05:40:22Z,democrats
2020-02-23T05:40:22Z,republicans
2020-02-23T05:40:22Z,berniewon
2020-02-19T16:55:58Z,tonight's
2020-02-19T16:55:58Z,democraticdebate
2020-02-19T16:55:58Z,delayed
2020-02-19T16:55:58Z,candidate
2020-02-19T16:55:58Z,michaelbloomberg
2020-02-19T16:55:58Z,audience
2020-02-19T16:55:58Z,stopped
2020-02-19T16:55:58Z,frisked
2020-02-19T16:55:58Z,stopandfrisk
2020-02-19T16:55:58Z,bloombergisaracist
2020-02-20T12:58:42Z,thedonald
2020-02-20T12:58:42Z,invested
2020-02-20T12:58:42Z,savings
2020-02-20T12:58:42Z,accounts
2020-02-20T12:58:42Z,michaelbloomberg
2020-02-20T12:58:42Z,moderately
2020-02-20T12:58:42Z,family
2020-02-20T12:58:42Z,10
2020-02-20T12:58:42Z,times
2020-02-20T12:58:42Z,donald
2020-02-20T12:58:42Z,bloomberg's
2020-02-20T12:58:42Z,businesses
2020-02-20T12:58:42Z,success
2020-02-20T12:58:42Z,donald
2020-02-20T12:58:42Z,claims
2020-02-23T04:50:49Z,michaelbloomberg
2020-02-23T04:50:49Z,bernie2020
2020-02-23T04:50:49Z,nevadacaucus
2020-02-23T04:50:49Z,joebiden
2020-02-23T04:50:49Z,trump
2020-02-23T04:50:49Z,elizabethwarren
2020-02-23T04:15:45Z,berniewon
2020-02-23T04:15:45Z,michaelbloomberg
